date	total_num_addresses
2021-04-09	1230357
2021-04-08	1099573
2021-04-07	1248811
2021-04-06	1196411
2021-04-05	1228669
2021-04-04	1043036
2021-04-03	1030471
2021-04-02	1111019
2021-04-01	1142123
2021-03-31	1250492
2021-03-30	1156120
2021-03-29	1120831
2021-03-28	1076860
2021-03-27	1154917
2021-03-26	1098753
2021-03-25	1212522
2021-03-24	1163145
2021-03-23	1241595
2021-03-22	1151612
2021-03-21	1106157
2021-03-20	1141770
2021-03-19	1167778
2021-03-18	1215730
2021-03-17	1126915
2021-03-16	1167303
2021-03-15	1171129
2021-03-14	1167862
2021-03-13	1115013
2021-03-12	1189158
2021-03-11	1086818
2021-03-10	1183231
2021-03-09	1091867
2021-03-08	1174988
2021-03-07	1050974
2021-03-06	1133078
2021-03-05	1169154
2021-03-04	1046922
2021-03-03	1186311
2021-03-02	1135141
2021-03-01	1089780
2021-02-28	1033356
2021-02-27	1206178
2021-02-26	1125624
2021-02-25	1220361
2021-02-24	1242369
2021-02-23	1062759
2021-02-22	1099128
2021-02-21	1046681
2021-02-20	1194605
2021-02-19	1251430
2021-02-18	1142942
2021-02-17	1142720
2021-02-16	996111
2021-02-15	1146720
2021-02-14	1118974
2021-02-13	1224606
2021-02-12	1153262
2021-02-11	1067369
2021-02-10	1189875
2021-02-09	1184738
2021-02-08	1248710
2021-02-07	1156729
2021-02-06	1163858
2021-02-05	1262356
2021-02-04	1234340
2021-02-03	1193560
2021-02-02	1216327
2021-02-01	985275
2021-01-31	1080570
2021-01-30	1089067
2021-01-29	1217518
2021-01-28	1104168
2021-01-27	1108814
2021-01-26	1187227
2021-01-25	1124380
2021-01-24	1006861
2021-01-23	1141674
2021-01-22	1104253
2021-01-21	1076271
2021-01-20	1097715
2021-01-19	1106821
2021-01-18	1089185
2021-01-17	1013712
2021-01-16	1120297
2021-01-15	1210431
2021-01-14	1170717
2021-01-13	1167752
2021-01-12	1213667
2021-01-11	1211336
2021-01-10	1183261
2021-01-09	1102951
2021-01-08	1239827
2021-01-07	1296053
2021-01-06	1348484
2021-01-05	1239169
2021-01-04	1282625
2021-01-03	1194185
2021-01-02	1144903
2021-01-01	1003690
2020-12-31	1208524
2020-12-30	1221423
2020-12-29	1154890
2020-12-28	1150942
2020-12-27	1066022
2020-12-26	954584
2020-12-25	1030838
2020-12-24	975658
2020-12-23	1136460
2020-12-22	1102565
2020-12-21	1128470
2020-12-20	1083257
2020-12-19	1169476
2020-12-18	1197425
2020-12-17	1071652
2020-12-16	1097514
2020-12-15	1051653
2020-12-14	984095
2020-12-13	950690
2020-12-12	968857
2020-12-11	1079199
2020-12-10	996607
2020-12-09	1062909
2020-12-08	1066196
2020-12-07	1021082
2020-12-06	917279
2020-12-05	1079825
2020-12-04	1077785
2020-12-03	1173566
2020-12-02	1021217
2020-12-01	1173783
2020-11-30	893156
2020-11-29	890939
2020-11-28	1050540
2020-11-27	1103114
2020-11-26	1124058
2020-11-25	1133404
2020-11-24	1060309
2020-11-23	1008161
2020-11-22	876077
2020-11-21	1028346
2020-11-20	1188355
2020-11-19	1062290
2020-11-18	1193670
2020-11-17	1140199
2020-11-16	1042566
2020-11-15	868441
2020-11-14	923828
2020-11-13	1007716
2020-11-12	1057681
2020-11-11	1024519
2020-11-10	1028073
2020-11-09	1209513
2020-11-08	932713
2020-11-07	1059747
2020-11-06	1088848
2020-11-05	1074285
2020-11-04	1172973
2020-11-03	1036673
2020-11-02	782160
2020-11-01	894688
2020-10-31	884817
2020-10-30	900409
2020-10-29	892820
2020-10-28	821377
2020-10-27	829584
2020-10-26	828770
2020-10-25	857717
2020-10-24	1102593
2020-10-23	989606
2020-10-22	1051445
2020-10-21	1014122
2020-10-20	1017603
2020-10-19	937659
2020-10-18	735424
2020-10-17	854061
2020-10-16	994310
2020-10-15	1046621
2020-10-14	944126
2020-10-13	1065009
2020-10-12	947074
2020-10-11	802894
2020-10-10	921691
2020-10-09	1011644
2020-10-08	1045186
2020-10-07	1068933
2020-10-06	982298
2020-10-05	951108
2020-10-04	926183
2020-10-03	1019376
2020-10-02	991524
2020-10-01	934982
2020-09-30	1124558
2020-09-29	1009336
2020-09-28	878745
2020-09-27	795760
2020-09-26	959416
2020-09-25	1154509
2020-09-24	950734
2020-09-23	1021138
2020-09-22	975383
2020-09-21	952266
2020-09-20	816881
2020-09-19	910164
2020-09-18	980147
2020-09-17	1118361
2020-09-16	1075646
2020-09-15	976363
2020-09-14	1033414
2020-09-13	801618
2020-09-12	910805
2020-09-11	968474
2020-09-10	1105281
2020-09-09	973331
2020-09-08	990830
2020-09-07	1099514
2020-09-06	1002063
2020-09-05	987399
